provider_a,provider_b,n_paired_tasks,n_discordant,mean_success_a,mean_success_b,median_difference,mean_difference,statistic,p_raw,rank_biserial,p_adjusted,significant,correction
anthropic,ollama,60,50,0.8999999999999999,0.16333333333333336,1.0,0.7366666666666666,2.0,1.0200672318193157e-10,0.9968627450980392,6.120403390915894e-10,True,holm
groq,ollama,60,53,0.8255555555555556,0.16333333333333336,1.0,0.6622222222222223,60.0,1.964221354467802e-09,0.9161425576519916,8.408127824145893e-09,True,holm
ollama,openai,60,43,0.16333333333333336,0.7733333333333333,-1.0,-0.61,2.0,1.6816255648291784e-09,0.9957716701902748,8.408127824145893e-09,True,holm
anthropic,openai,60,19,0.8999999999999999,0.7733333333333333,0.0,0.12666666666666668,22.5,0.0034087866740825524,0.7631578947368421,0.010226360022247657,True,holm
anthropic,groq,60,22,0.8999999999999999,0.8255555555555556,0.0,0.07444444444444445,62.5,0.036035174876138276,0.5059288537549407,0.07207034975227655,False,holm
groq,openai,60,25,0.8255555555555556,0.7733333333333333,0.0,0.05222222222222222,119.0,0.24036748699472144,0.2676923076923077,0.24036748699472144,False,holm
