category,anthropic,groq,ollama,openai,n_runs_total,tsr_range,tsr_std
ambiguous,0.74,0.84,0.1568627450980392,0.8,201,0.6831372549019608,0.32087784484291565
codegen,0.8933333333333333,0.5866666666666667,0.12582781456953643,0.8,601,0.7675055187637969,0.3420784475343143
error_recovery,0.9215686274509803,0.7647058823529411,0.07692307692307693,0.6666666666666666,205,0.8446455505279034,0.36894685856490844
tool_orchestration,0.9803921568627451,0.9411764705882353,0.34615384615384615,0.9019607843137255,205,0.6342383107088989,0.2992293895946456
