provider,model,tsr,ci_low,ci_high,n_pass,n_runs
anthropic,claude-sonnet-5,0.8973509933774835,0.8579818879044159,0.9267384077854663,271,302
groq,openai/gpt-oss-120b,0.6655629139072847,0.610567359311015,0.7163994305597692,201,302
ollama,llama3.2,0.16721311475409836,0.12952896034601263,0.21317586699435787,51,305
openai,gpt-4o-mini,0.7748344370860927,0.7244435276950909,0.8183213434904109,234,302
