rank,provider,model,params_b,trust_score,tsr,ata_cross,stability,protocol_adherence,n_runs
1,anthropic,claude-sonnet-5,,0.7547964194464885,0.9006622516556292,0.326754938271605,0.8632916666666667,0.9701986754966887,302
2,openai,gpt-4o-mini,,0.7445801350053143,0.7748344370860927,0.3949432098765433,0.9476157407407407,0.9900662251655629,302
3,groq,openai/gpt-oss-120b,120.0,0.7367766811789715,0.8245033112582781,0.4405228395061729,0.8191666666666666,0.9205298013245033,302
4,ollama,llama3.2,3.0,0.412239490993726,0.16721311475409836,0.1772320987654321,0.9786111111111111,0.5639344262295082,305
